SMILES,Name,Mol_Weight,Num_Atoms,Num_Rings,Num_Valence_Electrons,Energy_Hartrees,Status
CO,Methanol,32.041999999999994,6.0,0.0,14.0,-113.54294771641625,Success
CCO,Ethanol,46.06900000000002,9.0,0.0,20.0,-152.1133402540237,Success
CC(=O)O,Acetic_Acid,60.052000000000014,8.0,0.0,24.0,-224.77743794435776,Success
c1ccccc1,Benzene,78.11399999999996,12.0,1.0,30.0,-227.8889031836735,Success
C1CCCCC1,Cyclohexane,84.16199999999994,18.0,1.0,36.0,-231.44971924050606,Success
CC(=O)C,Acetone,58.08000000000001,10.0,0.0,24.0,-189.52705187005216,Success
C=O,Formaldehyde,30.025999999999996,4.0,0.0,12.0,-112.35070112057477,Success
C#C,Ethyne,26.037999999999997,4.0,0.0,10.0,-75.84975054303106,Success
C=C,Ethene,28.053999999999995,6.0,0.0,12.0,-77.06608588593134,Success
c1ccccc1O,Phenol,94.11299999999996,13.0,1.0,36.0,-301.7108235908799,Success
c1ccccc1N,Aniline,93.12899999999996,14.0,1.0,36.0,-282.1863782336009,Success
n1ccccc1,Pyridine,79.10199999999996,11.0,1.0,30.0,-243.6323433195447,Success
CC(=O)H,Acetaldehyde,,,,,,Error: Invalid SMILES string: CC(=O)H
C(=O)O,Formic_Acid,46.025000000000006,5.0,0.0,18.0,-186.19346961984218,Success
CCN,Ethylamine,45.085000000000015,10.0,0.0,20.0,-132.59222314716953,Success
COC,Dimethyl_Ether,46.06900000000002,9.0,0.0,20.0,-152.1255878913782,Success
C(=C)C,Propene,42.08100000000002,9.0,0.0,18.0,-115.65345701447444,Success
C=CC=C,Butadiene,54.09200000000001,10.0,0.0,22.0,-153.01685625082473,Success
CCC,Propane,44.09700000000002,11.0,0.0,20.0,-116.8702584886501,Success
CC(C)C,Isobutane,58.124000000000024,14.0,0.0,26.0,-155.434742580211,Success
